,uic,name,lat,lng,address
37,8400470,Nijmegen,51.8436126708984,5.85222244262695,"Tunnelweg, Wolfskuil, Nijmegen-Oud-West, Nijmegen, Gelderland, Nederland, 6512 AA, Nederland"
38,8400495,Oss,51.7655563354492,5.53222227096558,"Oss, Spoorlaan, Buurt Berghemseweg-Zuid, Oss Zuid, Oss, Noord-Brabant, Nederland, 5348 KC, Nederland"
39,8400523,Roermond,51.1930541992188,5.9941668510437,"Spoor 1, Spoorlaan Noord, Vrijveld, Roermond-Oost, Roermond, Limburg, Nederland, 6043 AR, Nederland"
40,8400526,Roosendaal,51.5402793884277,4.45833349227905,"Spoor 3a, Spoor 4a, Borchwerf Noord, Roosendaal, Noord-Brabant, Nederland, 4702 VZ, Nederland"
41,8400564,Sittard,51.0016670227051,5.85861110687256,"Spoor 3a, Brugstraat, Sittard, Sittard-Geleen, Limburg, Nederland, 6131 AE, Nederland"
42,8400597,Tilburg,51.5605545043945,5.08361101150513,"Stationspassage, Tilburg Centrum, Oud-Noord, Tilburg, Noord-Brabant, Nederland, 5038 CA, Nederland"
43,8400644,Venlo,51.3636093139648,6.17277765274048,"Kaldenkerkerweg, Hagerhof, Blerick, Venlo, Limburg, Nederland, 5913 AE, Nederland"
44,8400652,Vlissingen,51.4458351135254,3.59527778625488,"Spoor 3, Prins Hendrikweg, Vlissingen, Zeeland, Nederland, 4382 ZB, Nederland"
45,8400731,Zaandam,52.4388885498047,4.81361103057861,"2, Station Zaandam, Zaandam, Zaanstad, Noord-Holland, Nederland, 1506 MZ, Nederland"
46,8400744,Zutphen,52.1452789306641,6.19416666030884,"NS Stationstunnel, Noorderhaven, De Hoven, Zutphen, Gelderland, Nederland, 7202 AL, Nederland"
47,8400747,Zwolle,52.5047225952148,6.09194421768188,"Stationspassage, Stationsbuurt, Assendorp, Zwolle, Overijssel, Nederland, 8017 JR, Nederland"
48,8400057,Amsterdam Amstel,52.3466682434082,4.91777801513672,"11, Julianapassage, Oost, Amsterdam, Noord-Holland, Nederland, 1097 JT, Nederland"
49,8400061,Amsterdam Zuid,52.338889,4.872356,"Ringweg-Zuid, Mahler, Zuidas, Zuid, Amsterdam, Noord-Holland, Nederland, 1082 MM, Nederland"
50,8400151,Castricum,52.5458335876465,4.65861129760742,"Westerplein, Castricum, Noord-Holland, Nederland, 1901 AA, Nederland"
51,8400311,Den Helder,52.9552764892578,4.76111125946045,"3, Boerhaavestraat, Tuindorp-Oost, Sluisdijk, Den Helder, Noord-Holland, Nederland, 1782 AB, Nederland"
52,8400176,Dieren,52.0449981689453,6.10305547714233,"2, Burgemeester de Bruinstraat, Dieren, Rheden, Gelderland, Nederland, 6953 AB, Nederland"
53,8400218,Etten-Leur,51.5750007629395,4.63583326339722,"Stationsplein, Grient, Etten-Leur, Noord-Brabant, Nederland, 4874 MZ, Nederland"
54,8400302,Heemstede-Aerdenhout,52.3591651916504,4.60666656494141,"Leidsevaartweg, Heemstede, Noord-Holland, Nederland, 2106 ET, Nederland"
55,8400305,Heerenveen,52.9613876342773,5.91416645050049,"Jutte, Heerenveen, Fryslân, Nederland, 8447 AA, Nederland"
56,8400486,Olst,52.3347206115723,6.11305570602417,"Stationsweg, Boskamp, Olst, Olst-Wijhe, Overijssel, Nederland, 8121 CL, Nederland"
57,8400507,Rotterdam Alexander,51.9519462585449,4.55361127853394,"Spoor 2, G.H. Betzweg, Oosterflank, Prins Alexander, Rotterdam, Zuid-Holland, Nederland, 3068 AZ, Nederland"
58,8400578,Steenwijk,52.7915109924316,6.11455576324463,"2, Meester Zigher ter Steghestraat, Steenwijk, Steenwijkerland, Overijssel, Nederland, 8331 KJ, Nederland"
59,8400684,Weert,51.2486114501953,5.70361089706421,"Spoor 3b, Louis Regoutstraat, Parkhof, Keent, Weert, Limburg, Nederland, 6001 KC, Nederland"
60,8400711,Wijhe,52.3902778625488,6.1405553817749,"Spoorslag, Boerhaar, Wijhe, Olst-Wijhe, Overijssel, Nederland, 8131 AE, Nederland"
61,8400139,Buitenpost,53.2564547,6.1446496,"Buitenpost, Achtkarspelen, Fryslân, Nederland, 9285 VW, Nederland"
62,8400153,Coevorden,52.6636123657227,6.73555564880371,"Relus ter Beekplein, Holwert, Coevorden, Drenthe, Nederland, 7741 GZ, Nederland"
63,8400428,Mariënberg,52.5094451904297,6.57527780532837,"1, Stationsweg, Kloosterdijk, Mariënberg, Hardenberg, Overijssel, Nederland, 7692 AC, Nederland"
64,8400487,Ommen,52.5094451904297,6.41583347320557,"Wolfskuil, Besthmen, Ommen, Overijssel, Nederland, 7731 AN, Nederland"
