,passservice_num,arrival,departure,stations_uic
73,6463,2026-05-02 19:03:00+02:00,2026-05-02 19:03:30+02:00,8400432
74,6463,2026-05-02 19:10:00+02:00,2026-05-03 00:00:00+02:00,8400684
75,5663,2026-05-02 00:00:00+02:00,2026-05-02 17:51:00+02:00,8400621
76,5663,2026-05-02 17:55:00+02:00,2026-05-02 17:55:30+02:00,8400620
77,5663,2026-05-02 18:00:00+02:00,2026-05-02 18:00:30+02:00,8400114
78,5663,2026-05-02 18:03:00+02:00,2026-05-02 18:03:30+02:00,8400179
79,5663,2026-05-02 18:10:00+02:00,2026-05-02 18:12:00+02:00,8400055
80,5663,2026-05-02 18:16:00+02:00,2026-05-02 18:16:30+02:00,8400054
81,5663,2026-05-02 18:19:00+02:00,2026-05-02 18:19:30+02:00,8400228
82,5663,2026-05-02 18:24:00+02:00,2026-05-02 18:24:30+02:00,8400469
83,5663,2026-05-02 18:29:00+02:00,2026-05-02 18:29:30+02:00,8400509
84,5663,2026-05-02 18:34:00+02:00,2026-05-02 18:34:30+02:00,8400216
85,5663,2026-05-02 18:38:00+02:00,2026-05-02 18:38:30+02:00,8400294
86,5663,2026-05-02 18:46:00+02:00,2026-05-02 18:46:30+02:00,8400466
87,5663,2026-05-02 18:52:00+02:00,2026-05-02 18:52:30+02:00,8400388
88,5663,2026-05-02 18:59:00+02:00,2026-05-02 18:59:30+02:00,8400690
89,5663,2026-05-02 19:06:00+02:00,2026-05-03 00:00:00+02:00,8400747
90,5161,2026-05-02 00:00:00+02:00,2026-05-02 18:56:00+02:00,8400282
91,5161,2026-05-02 18:59:00+02:00,2026-05-02 19:00:00+02:00,8400280
92,5161,2026-05-02 19:03:00+02:00,2026-05-02 19:03:30+02:00,8400279
93,5161,2026-05-02 19:06:00+02:00,2026-05-02 19:06:30+02:00,8400505
94,5161,2026-05-02 19:10:00+02:00,2026-05-02 19:10:30+02:00,8400170
95,5161,2026-05-02 19:13:00+02:00,2026-05-02 19:13:30+02:00,8400166
96,5161,2026-05-02 19:20:00+02:00,2026-05-02 19:20:30+02:00,8400553
97,5161,2026-05-02 19:24:00+02:00,2026-05-02 19:26:00+02:00,8400530
98,5161,2026-05-02 19:29:00+02:00,2026-05-02 19:29:30+02:00,8400529
99,5161,2026-05-02 19:32:00+02:00,2026-05-02 19:32:30+02:00,8400533
100,5161,2026-05-02 19:35:00+02:00,2026-05-03 00:00:00+02:00,8400534
101,9067,2026-05-02 00:00:00+02:00,2026-05-02 18:52:00+02:00,8400394
102,9067,2026-05-02 19:05:00+02:00,2026-05-02 19:05:30+02:00,8400198
103,9067,2026-05-02 19:13:00+02:00,2026-05-02 19:13:30+02:00,8400360
104,9067,2026-05-02 19:23:00+02:00,2026-05-02 19:27:00+02:00,8400747
105,9067,2026-05-02 19:42:00+02:00,2026-05-02 19:42:30+02:00,8400435
106,9067,2026-05-02 19:51:00+02:00,2026-05-02 19:51:30+02:00,8400578
107,9067,2026-05-02 19:59:00+02:00,2026-05-02 19:59:30+02:00,8400705
109,9067,2026-05-02 20:06:00+02:00,2026-05-02 20:06:30+02:00,8400305
110,9067,2026-05-02 20:13:00+02:00,2026-05-02 20:13:30+02:00,8400049
111,9067,2026-05-02 20:17:00+02:00,2026-05-02 20:17:30+02:00,8400266
112,9067,2026-05-02 20:27:00+02:00,2026-05-03 00:00:00+02:00,8400387
113,4965,2026-05-02 00:00:00+02:00,2026-05-02 18:21:00+02:00,8400080
114,4965,2026-05-02 18:24:00+02:00,2026-05-02 18:24:30+02:00,8400082
115,4965,2026-05-02 18:28:00+02:00,2026-05-02 18:28:30+02:00,8400450
116,4965,2026-05-02 18:39:00+02:00,2026-05-02 18:42:00+02:00,8400452
119,4965,2026-05-02 18:47:00+02:00,2026-05-02 18:48:00+02:00,8400322
120,4965,2026-05-02 18:50:00+02:00,2026-05-02 18:50:30+02:00,8400570
122,4965,2026-05-02 19:01:00+02:00,2026-05-02 19:01:30+02:00,8400620
123,4965,2026-05-02 19:05:00+02:00,2026-05-03 00:00:00+02:00,8400621
124,7367,2026-05-02 00:00:00+02:00,2026-05-02 17:33:00+02:00,8400615
125,7367,2026-05-02 17:37:00+02:00,2026-05-02 17:37:30+02:00,8400368
126,7367,2026-05-02 17:41:00+02:00,2026-05-02 17:41:30+02:00,8400707
127,7367,2026-05-02 17:44:00+02:00,2026-05-02 17:44:30+02:00,8400364
128,7367,2026-05-02 17:47:00+02:00,2026-05-02 17:47:30+02:00,8400363
129,7367,2026-05-02 17:50:00+02:00,2026-05-02 17:50:30+02:00,8400731
130,7367,2026-05-02 17:56:00+02:00,2026-05-02 17:56:30+02:00,8400059
131,7367,2026-05-02 18:02:00+02:00,2026-05-02 18:04:00+02:00,8400058
133,7367,2026-05-02 18:11:00+02:00,2026-05-02 18:11:30+02:00,8400057
135,7367,2026-05-02 18:16:00+02:00,2026-05-02 18:16:30+02:00,8400074
137,7367,2026-05-02 18:20:00+02:00,2026-05-02 18:20:30+02:00,8400047
138,7367,2026-05-02 18:27:00+02:00,2026-05-02 18:28:00+02:00,8400133
139,7367,2026-05-02 18:33:00+02:00,2026-05-02 18:33:30+02:00,8400419
140,7367,2026-05-02 18:38:00+02:00,2026-05-02 18:38:30+02:00,8400613
141,7367,2026-05-02 18:41:00+02:00,2026-05-02 18:44:00+02:00,8400621
142,7367,2026-05-02 18:46:00+02:00,2026-05-02 18:46:30+02:00,8400606
143,7367,2026-05-02 18:51:00+02:00,2026-05-02 18:51:30+02:00,8400141
144,7367,2026-05-02 18:55:00+02:00,2026-05-02 18:55:30+02:00,8400182
145,7367,2026-05-02 19:01:00+02:00,2026-05-02 19:01:30+02:00,8400417
146,7367,2026-05-02 19:10:00+02:00,2026-05-02 19:10:30+02:00,8400628
147,7367,2026-05-02 19:13:00+02:00,2026-05-02 19:15:00+02:00,8400627
148,7367,2026-05-02 19:21:00+02:00,2026-05-03 00:00:00+02:00,8400517
149,5159,2026-05-02 00:00:00+02:00,2026-05-02 18:26:00+02:00,8400282
150,5159,2026-05-02 18:29:00+02:00,2026-05-02 18:30:00+02:00,8400280
151,5159,2026-05-02 18:33:00+02:00,2026-05-02 18:33:30+02:00,8400279
152,5159,2026-05-02 18:36:00+02:00,2026-05-02 18:36:30+02:00,8400505
153,5159,2026-05-02 18:40:00+02:00,2026-05-02 18:40:30+02:00,8400170
154,5159,2026-05-02 18:43:00+02:00,2026-05-02 18:43:30+02:00,8400166
155,5159,2026-05-02 18:50:00+02:00,2026-05-02 18:50:30+02:00,8400553
156,5159,2026-05-02 18:54:00+02:00,2026-05-02 18:56:00+02:00,8400530
157,5159,2026-05-02 18:59:00+02:00,2026-05-02 18:59:30+02:00,8400529
158,5159,2026-05-02 19:02:00+02:00,2026-05-02 19:02:30+02:00,8400533
159,5159,2026-05-02 19:05:00+02:00,2026-05-03 00:00:00+02:00,8400534
160,5059,2026-05-02 00:00:00+02:00,2026-05-02 18:41:00+02:00,8400282
161,5059,2026-05-02 18:44:00+02:00,2026-05-02 18:46:00+02:00,8400280
162,5059,2026-05-02 18:49:00+02:00,2026-05-02 18:49:30+02:00,8400279
163,5059,2026-05-02 18:52:00+02:00,2026-05-02 18:52:30+02:00,8400505
164,5059,2026-05-02 18:56:00+02:00,2026-05-02 18:56:30+02:00,8400170
165,5059,2026-05-02 18:59:00+02:00,2026-05-02 18:59:30+02:00,8400166
166,5059,2026-05-02 19:05:00+02:00,2026-05-02 19:05:30+02:00,8400553
167,5059,2026-05-02 19:10:00+02:00,2026-05-02 19:13:00+02:00,8400530
168,5059,2026-05-02 19:16:00+02:00,2026-05-02 19:16:30+02:00,8400529
169,5059,2026-05-02 19:19:00+02:00,2026-05-02 19:19:30+02:00,8400533
170,5059,2026-05-02 19:22:00+02:00,2026-05-03 00:00:00+02:00,8400534
171,6170,2026-05-02 00:00:00+02:00,2026-05-02 18:32:00+02:00,8400263
172,6170,2026-05-02 18:35:00+02:00,2026-05-02 18:35:30+02:00,8400238
173,6170,2026-05-02 18:39:00+02:00,2026-05-02 18:39:30+02:00,8400297
174,6170,2026-05-02 18:52:00+02:00,2026-05-02 18:52:30+02:00,8400073
175,6170,2026-05-02 19:02:00+02:00,2026-05-02 19:02:30+02:00,8400100
176,6170,2026-05-02 19:10:00+02:00,2026-05-02 19:10:30+02:00,8400330
177,6170,2026-05-02 19:21:00+02:00,2026-05-02 19:21:30+02:00,8400435
178,6170,2026-05-02 19:37:00+02:00,2026-05-03 00:00:00+02:00,8400747
179,4366,2026-05-02 00:00:00+02:00,2026-05-02 18:55:00+02:00,8400394
180,4366,2026-05-02 19:06:00+02:00,2026-05-02 19:06:30+02:00,8400226
181,4366,2026-05-02 19:09:00+02:00,2026-05-02 19:09:30+02:00,8400081
182,4366,2026-05-02 19:13:00+02:00,2026-05-02 19:13:30+02:00,8400104
183,4366,2026-05-02 19:15:00+02:00,2026-05-02 19:16:00+02:00,8400080
184,4366,2026-05-02 19:19:00+02:00,2026-05-02 19:19:30+02:00,8400082
185,4366,2026-05-02 19:23:00+02:00,2026-05-02 19:23:30+02:00,8400450
186,4366,2026-05-02 19:30:00+02:00,2026-05-02 19:41:00+02:00,8400685
187,4366,2026-05-02 19:47:00+02:00,2026-05-02 19:47:30+02:00,8400163
188,4366,2026-05-02 19:50:00+02:00,2026-05-02 19:52:00+02:00,8400194
189,4366,2026-05-02 19:56:00+02:00,2026-05-03 00:00:00+02:00,8400056
190,5764,2026-05-02 00:00:00+02:00,2026-05-02 18:41:00+02:00,8400621
191,5764,2026-05-02 18:45:00+02:00,2026-05-02 18:45:30+02:00,8400620
192,5764,2026-05-02 18:53:00+02:00,2026-05-02 18:53:30+02:00,8400327
193,5764,2026-05-02 18:57:00+02:00,2026-05-02 18:57:30+02:00,8400570
194,5764,2026-05-02 19:00:00+02:00,2026-05-02 19:01:00+02:00,8400322
195,5764,2026-05-02 19:03:00+02:00,2026-05-02 19:03:30+02:00,8400324
196,5764,2026-05-02 19:07:00+02:00,2026-05-02 19:07:30+02:00,8400145
197,5764,2026-05-02 19:10:00+02:00,2026-05-02 19:10:30+02:00,8400452
198,5764,2026-05-02 19:16:00+02:00,2026-05-02 19:23:00+02:00,8400685
199,5764,2026-05-02 19:30:00+02:00,2026-05-02 19:30:30+02:00,8400163
200,5764,2026-05-02 19:32:00+02:00,2026-05-02 19:35:00+02:00,8400194
201,5764,2026-05-02 19:40:00+02:00,2026-05-03 00:00:00+02:00,8400056
202,5062,2026-05-02 00:00:00+02:00,2026-05-02 18:40:00+02:00,8400534
203,5062,2026-05-02 18:42:00+02:00,2026-05-02 18:42:30+02:00,8400533
204,5062,2026-05-02 18:45:00+02:00,2026-05-02 18:45:30+02:00,8400529
205,5062,2026-05-02 18:48:00+02:00,2026-05-02 18:50:00+02:00,8400530
206,5062,2026-05-02 18:55:00+02:00,2026-05-02 18:55:30+02:00,8400553
207,5062,2026-05-02 19:01:00+02:00,2026-05-02 19:01:30+02:00,8400166
208,5062,2026-05-02 19:04:00+02:00,2026-05-02 19:04:30+02:00,8400170
209,5062,2026-05-02 19:08:00+02:00,2026-05-02 19:08:30+02:00,8400505
210,5062,2026-05-02 19:11:00+02:00,2026-05-02 19:11:30+02:00,8400279
211,5062,2026-05-02 19:14:00+02:00,2026-05-02 19:16:00+02:00,8400280
212,5062,2026-05-02 19:19:00+02:00,2026-05-03 00:00:00+02:00,8400282
213,9065,2026-05-02 00:00:00+02:00,2026-05-02 18:23:00+02:00,8400394
214,9065,2026-05-02 18:36:00+02:00,2026-05-02 18:36:30+02:00,8400198
215,9065,2026-05-02 18:44:00+02:00,2026-05-02 18:44:30+02:00,8400360
216,9065,2026-05-02 18:54:00+02:00,2026-05-03 00:00:00+02:00,8400747
217,7362,2026-05-02 00:00:00+02:00,2026-05-02 18:08:00+02:00,8400517
218,7362,2026-05-02 18:14:00+02:00,2026-05-02 18:16:00+02:00,8400627
219,7362,2026-05-02 18:19:00+02:00,2026-05-02 18:19:30+02:00,8400628
